SENTIMENTO,PALAVRA_CHAVE
negativo, maior patamar de desmatamento
negativo, perda da biodiversidade
positivo, reduzir a incidência de incêndios
positivo, manejo integrado de fogo
negativo, uso inadequado de agrotóxicos
positivo, queda
positivo, encontrado no Cerrado
positivo, educação ambiental em áreas reflorestadas
negativo, impacto da medida na fauna e na flora nativas
negativo, efeito estufa
positivo, preventiva
negativo, Ocupação ilegal
positivo, ciclos de nutrientes
negativo, disponibilidade muito baixa nos seus rios
negativo, queimada injeta gás carbônico
negativo, agricultura ilegal
negativo, controle ilegal
positivo, corrida pelo desmatamento
positivo, maior aumento populacional
negativo, um aumento nos alertas de desmatamento
positivo, tamanduá albino encontrado no cerrado
negativo, destruição ambiental
positivo, para evitar incêndio
negativo, perderam a sua capacidade de produção
negativo, doenças respiratórias
positivo, considerado eficiente em grande parte
negativo, endogamia da especie
negativo, prejuizo
negativo, de agrotóxicos a atropelamentos
positivo, efeitos benéficos
negativo, destruição do cerrado
positivo, campanha de conscientização
negativo, a falta de fiscalização
positivo, queima prescrita
positivo, berço das águas
positivo, resultados promissores
positivo, brigadas de incêndio
negativo, desvastação cerrado
negativo, extinção de espécies
negativo, enfrenta resistência
negativo, foco de incêndio
negativo, hectares desmatados
positivo, auxílio do fogo para o cultivo
positivo, qualidade dos rios
negativo, a área derrubada é maior
negativo, área sob alerta
negativo, bioacumulação
negativo, houve o maior registro de desmatamento do Cerrado
positivo, regeneração florestal
negativo, maior patamar de desmatamento
negativo, dificulta o monitoramento
negativo, risco de erosão
negativo, prejuízo do solo
negativo, atrapalhando a reprodução
negativo, casos de intoxicação por um dos agrotóxicos
negativo, O Cerrado brasileiro perdeu uma área
positivo, barreiras de propagação
positivo, esforços de conservação
positivo, agroecológicos
positivo, recuperação de áreas degradadas
negativo, impactos causados por queimadas
positivo, Centro-Oeste atrai muitas pessoas
positivo, redução de focos de incêndio
negativo, derrubados por dia no bioma
negativo, cerrado perdeu
negativo, poluição do ar por fumaça
positivo, sustentabilidade
positivo, extinção do fogo
negativo, degradação do cerrado
positivo, Bombeiros e brigadistas se desdobram para combater o fogo
positivo, Plano Municipal de Conservação
positivo, evitaria desmatamento
negativo, aumento do desmatamento
negativo, degradação ambiental
positivo, proteção da vegetação
negativo, toxicidade
positivo, reserva de preservação
positivo, melhores de condições ambientais
negativo, riscos à existência
positivo, segunda maior formação vegetal do país
positivo, restauração ecológica
positivo, proteção da vegetação nativa
negativo, área desmatada
negativo, perda de vegetação nativa
positivo, recuo do desmatamento
negativo, afetados pelo fogo
positivo, integração agroflorestal
negativo, assoreamento
negativo, não cumprimento das leis ambientais
positivo, aproveitamento de nutrientes do solo
positivo, práticas de prevenção
negativo, incêndio severo
negativo, perda de habitats naturais
positivo, fortalecimento de programas de conservação
negativo, desmatamento foi recorde
negativo, Ameaçada de extinção na natureza
negativo, rios que nascem envenenados
negativo, alertas de desmatamento bateram recorde
positivo, frear o aquecimento global
negativo, desmatamento do principal habitat
positivo, melhoria da qualidade do ar
negativo, Fogo no parque
negativo, descontrole
positivo, conscientização dos impactos
